#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-01-29T18:43:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c509eb057ec	
#INFO	-out.max=unlimited	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:V/50&tab:{V/50/catalog}&key:source=V/50/catalog&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/50/catalog
#-order=I
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
_RAJ2000|_DEJ2000|RAJ2000|DEJ2000|Vmag|B-V
005.189583|+32.911389|00 20 45.5|+32 54 41| 5.79| 1.59
005.149583| +8.190278|00 20 35.9|+08 11 25| 5.37| 1.34
005.227083|+10.976944|00 20 54.5|+10 58 37| 6.56|
005.280417|+37.968611|00 21 07.3|+37 58 07| 5.18| 0.42
005.162500|-69.625000|00 20 39.0|-69 37 30| 5.51|-0.05
005.380000|-28.981667|00 21 31.2|-28 58 54| 5.18| 1.00
005.442917|-20.057778|00 21 46.3|-20 03 28| 5.12| 1.82
005.606250|+13.482500|00 22 25.5|+13 28 57| 6.23| 1.22
005.369167|-77.426944|00 21 28.6|-77 25 37| 5.97| 1.40
005.715833|-12.209444|00 22 51.8|-12 12 34| 6.39| 0.66
005.802500|-31.036111|00 23 12.6|-31 02 10| 6.55| 0.00
006.008333|+38.577222|00 24 02.0|+38 34 38| 7.39| 1.97
006.065000|+52.020000|00 24 15.6|+52 01 12| 5.57|-0.12
          |          |          |         |     |
006.197917|+61.831111|00 24 47.5|+61 49 52| 5.40| 0.00
006.123750| -2.219167|00 24 29.7|-02 13 09| 6.07| 1.22
          |          |          |         |     |
006.276667|+53.046944|00 25 06.4|+53 02 49| 5.74|-0.06
006.350833| +1.939722|00 25 24.2|+01 56 23| 5.77| 0.86
006.437917|-77.254167|00 25 45.1|-77 15 15| 2.80| 0.62
006.570833|-42.306111|00 26 17.0|-42 18 22| 2.39| 1.09
006.550833|-43.680000|00 26 12.2|-43 40 48| 3.94| 0.17
006.655833| -0.049722|00 26 37.4|-00 02 59| 6.19| 0.90
006.811250|-25.547222|00 27 14.7|-25 32 50| 5.98| 1.03
007.012083|+17.893056|00 28 02.9|+17 53 35| 5.06| 1.65
007.057083|+44.394444|00 28 13.7|+44 23 40| 5.17| 0.03
006.982083|-33.007222|00 27 55.7|-33 00 26| 4.81| 1.64
007.052917|+16.445000|00 28 12.7|+16 26 42| 6.06| 1.58
007.083750|+10.189722|00 28 20.1|+10 11 23| 6.04| 0.43
007.087917|-20.335000|00 28 21.1|-20 20 06| 6.43| 0.59
007.110000|-39.915000|00 28 26.4|-39 54 54| 5.43| 1.56
007.235833|+36.900000|00 28 56.6|+36 54 00| 6.26| 0.92
007.179583|-50.532778|00 28 43.1|-50 31 58| 6.26| 1.09
007.729167|+77.019444|00 30 55.0|+77 01 10| 6.21| 0.84
007.582917|+59.977222|00 30 19.9|+59 58 38| 5.94| 0.01
007.530417|+29.751667|00 30 07.3|+29 45 06| 5.23| 0.24
007.466250|-14.864167|00 29 51.9|-14 51 51| 6.14| 0.37
007.453750|-32.116667|00 29 48.9|-32 07 00| 6.57| 1.34
007.510000| -3.957222|00 30 02.4|-03 57 26| 5.72| 1.56
007.594583|-23.787778|00 30 22.7|-23 47 16| 5.19| 0.12
007.615833|-40.939444|00 30 27.8|-40 56 22| 6.19| 0.33
007.608750|-48.215000|00 30 26.1|-48 12 54| 5.69| 0.35
007.855417|+66.519444|00 31 25.3|+66 31 10| 6.18|-0.10
007.856667|+33.581667|00 31 25.6|+33 34 54| 5.87| 1.14
007.943333|+54.522222|00 31 46.4|+54 31 20| 4.73|-0.10
007.921667|+52.839444|00 31 41.2|+52 50 22| 5.60| 1.15
007.854167|-48.803611|00 31 25.0|-48 48 13| 4.77| 0.02
007.886250|-62.958056|00 31 32.7|-62 57 29| 4.37|-0.07
007.890000|-62.965833|00 31 33.6|-62 57 57| 4.54| 0.15
008.111667|+43.494722|00 32 26.8|+43 29 41| 6.70|-0.01
008.330417|+70.981667|00 33 19.3|+70 58 54| 6.42|-0.01
008.250000|+62.931667|00 33 00.0|+62 55 54| 4.16| 0.14
008.147917|+20.294444|00 32 35.5|+20 17 40| 5.38| 1.08
008.099167| +6.955556|00 32 23.8|+06 57 20| 5.67| 0.00
008.143750|+27.580556|00 32 34.5|+27 34 50| 6.67|
008.204583|+28.280278|00 32 49.1|+28 16 49| 6.30| 1.00
008.293333|+54.895000|00 33 10.4|+54 53 42| 5.93| 1.04
008.182500|-63.031111|00 32 43.8|-63 01 52| 5.09| 0.04
008.603750|+66.750278|00 34 24.9|+66 45 01| 6.48|-0.08
008.421250|-29.558333|00 33 41.1|-29 33 30| 5.55| 1.27
008.347083|-71.266111|00 33 23.3|-71 15 58| 6.13| 0.23
008.615833|-52.373056|00 34 27.8|-52 22 23| 5.57| 0.47
008.730417|+13.371111|00 34 55.3|+13 22 16| 6.40|
008.812083| -3.592778|00 35 14.9|-03 35 34| 5.20| 0.56
008.886667| -0.505556|00 35 32.8|-00 30 20| 5.93| 0.44
009.034583|+54.168611|00 36 08.3|+54 10 07| 5.08|-0.11
008.977917|+13.206667|00 35 54.7|+13 12 24| 6.41| 0.52
009.113750|+60.326111|00 36 27.3|+60 19 34| 5.79| 0.29
008.921250|-48.000833|00 35 41.1|-48 00 03| 5.51| 0.44
008.889167|-54.821944|00 35 33.4|-54 49 19| 6.06| 1.01
009.083333|+27.254722|00 36 20.0|+27 15 17| 6.50|-0.09
009.012500|-14.973611|00 36 03.0|-14 58 25| 6.45| 1.06
009.028750|-22.842500|00 36 06.9|-22 50 33| 6.06| 0.29
009.194167|+44.488611|00 36 46.6|+44 29 19| 5.13| 1.60
009.242917|+53.896944|00 36 58.3|+53 53 49| 3.66|-0.20
009.220417|+33.719444|00 36 52.9|+33 43 10| 4.36|-0.14
009.197083|+15.231667|00 36 47.3|+15 13 54| 5.89|-0.15
009.280000|+24.014167|00 37 07.2|+24 00 51| 6.47|
009.337917|+35.399444|00 37 21.1|+35 23 58| 5.48| 0.88
009.947083|+82.493889|00 39 47.3|+82 29 38| 6.40| 0.55
009.336250|-24.767222|00 37 20.7|-24 46 02| 5.57| 0.72
009.155833|-65.124722|00 36 37.4|-65 07 29| 6.42| 1.26
009.377083| +3.135278|00 37 30.5|+03 08 07| 6.39| 1.33
009.325417|-54.394167|00 37 18.1|-54 23 39| 6.41| 1.00
009.638750|+29.311667|00 38 33.3|+29 18 42| 4.37| 0.87
009.791250|+49.354444|00 39 09.9|+49 21 16| 5.43| 1.64
009.832083|+30.860833|00 39 19.7|+30 51 39| 3.27| 1.28
009.840833|+21.250556|00 39 21.8|+21 15 02| 5.87| 0.85
009.981667|+21.438333|00 39 55.6|+21 26 18| 5.36| 1.16
010.127083|+56.537222|00 40 30.5|+56 32 14| 2.23| 1.17
009.670000|-73.137222|00 38 40.8|-73 08 14| 6.85| 0.11
009.991250|-33.961667|00 39 57.9|-33 57 42| 6.69| 0.51
009.966667|-44.796667|00 39 52.0|-44 47 48| 6.01| 1.14
010.119167|-16.516944|00 40 28.6|-16 31 01| 6.49| 0.92
010.137083|-23.804444|00 40 32.9|-23 48 16| 6.14| 0.70
010.176667| -4.351944|00 40 42.4|-04 21 07| 5.91| 1.10
010.280000|+39.458611|00 41 07.2|+39 27 31| 5.33| 0.89
010.110000|-59.454444|00 40 26.4|-59 27 16| 5.89| 0.55
010.514167|+66.147500|00 42 03.4|+66 08 51| 5.83| 1.04
010.400000|+24.629167|00 41 36.0|+24 37 45| 6.04| 0.26
010.516250|+50.512500|00 42 03.9|+50 30 45| 4.80|-0.11
010.331667|-46.085000|00 41 19.6|-46 05 06| 4.59| 0.97
010.629583|+58.753333|00 42 31.1|+58 45 12| 6.17|-0.01
          |          |          |         |     |
010.443333|-56.501667|00 41 46.4|-56 30 06| 5.70| 0.20
010.867083|+47.024722|00 43 28.1|+47 01 29| 4.94| 0.18
010.678750|-38.463333|00 42 42.9|-38 27 48| 6.06|-0.03
010.674167|-60.262500|00 42 41.8|-60 15 45| 5.98| 1.32
010.618333|-65.468056|00 42 28.4|-65 28 05| 5.39| 0.50
010.897500|-17.986667|00 43 35.4|-17 59 12| 2.04| 1.02
011.110000|+47.864167|00 44 26.4|+47 51 51| 5.67|-0.12
010.959167|-12.011667|00 43 50.2|-12 00 42| 6.02| 1.10
010.838333|-57.463056|00 43 21.2|-57 27 47| 4.36| 0.00
011.412500|+74.988056|00 45 39.0|+74 59 17| 5.66| 0.05
011.181250|+48.284444|00 44 43.5|+48 17 04| 4.54|-0.07
011.047500|-10.609444|00 44 11.4|-10 36 34| 4.76| 1.01
011.050417|-38.421667|00 44 12.1|-38 25 18| 5.90| 1.16
011.321667|+55.221667|00 45 17.2|+55 13 18| 5.42| 0.04
011.185000|-22.006111|00 44 44.4|-22 00 22| 5.24| 0.33
011.237917|-42.676667|00 44 57.1|-42 40 36| 5.94| 0.28
011.134583|-62.497778|00 44 32.3|-62 29 52| 6.07| 0.44
011.662500|+69.325000|00 46 39.0|+69 19 30| 6.33|
011.350417| -4.629167|00 45 24.1|-04 37 45| 6.15| 1.62
011.250000|-53.715000|00 45 00.0|-53 42 54| 6.15| 0.53
011.369583|-12.880833|00 45 28.7|-12 52 51| 6.15| 0.61
011.562917|+55.305278|00 46 15.1|+55 18 19| 6.52|
011.545417|+44.861389|00 46 10.9|+44 51 41| 6.05|-0.07
011.423750|-16.424167|00 45 41.7|-16 25 27| 6.47| 0.31
011.676667|+59.574444|00 46 42.4|+59 34 28| 6.39| 1.09
011.942083|+74.847500|00 47 46.1|+74 50 51| 5.41|-0.08
011.440000|-47.551667|00 45 45.6|-47 33 06| 5.80| 0.64
011.549167|-22.521944|00 46 11.8|-22 31 19| 5.50| 0.98
011.637500|+15.475556|00 46 33.0|+15 28 32| 5.38| 1.65
012.037917|+72.675000|00 48 09.1|+72 40 30| 5.87| 1.01
011.756250|+11.973889|00 47 01.5|+11 58 26| 5.50| 0.97
011.806667|+19.578889|00 47 13.6|+19 34 44| 6.13| 0.27
011.834583|+24.267222|00 47 20.3|+24 16 02| 4.06| 1.12
011.848333| +6.740833|00 47 23.6|+06 44 27| 5.99| 0.94
011.978333|+20.925278|00 47 54.8|+20 55 31| 6.54| 0.50
011.930417|-18.061389|00 47 43.3|-18 03 41| 5.70| 1.30
012.275000|+57.815833|00 49 06.0|+57 48 57| 3.44| 0.57
012.004583|-21.722500|00 48 01.1|-21 43 21| 5.57|-0.06
012.072500| +7.300000|00 48 17.4|+07 18 00| 5.93| 1.10
012.095833| +5.280556|00 48 23.0|+05 16 50| 5.75| 0.88
012.208750|+50.968333|00 48 50.1|+50 58 06| 4.89|-0.11
012.170833| +7.585000|00 48 41.0|+07 35 06| 4.43| 1.50
012.244583|+16.940556|00 48 58.7|+16 56 26| 5.07| 0.51
012.453333|+41.078889|00 49 48.8|+41 04 44| 4.53|-0.15
012.356667|-13.561389|00 49 25.6|-13 33 41| 5.59| 1.30
012.307917|-24.136389|00 49 13.9|-24 08 11| 5.90| 0.95
012.236250|-46.697778|00 48 56.7|-46 41 52| 6.27| 0.90
012.470000|+27.710833|00 49 52.8|+27 42 39| 7.00| 0.36
012.471667|+27.710278|00 49 53.2|+27 42 37| 7.10|
012.389167|-23.361667|00 49 33.4|-23 21 42| 6.28| 0.13
012.681667|+64.247500|00 50 43.6|+64 14 51| 5.39| 0.49
012.576250|+45.002222|00 50 18.3|+45 00 08| 6.15| 0.01
012.531667|-10.644444|00 50 07.6|-10 38 40| 5.19| 0.50
012.147500|-74.923333|00 48 35.4|-74 55 24| 5.07| 1.37
012.818333|+61.805833|00 51 16.4|+61 48 21| 6.07| 1.88
012.739167|+51.508056|00 50 57.4|+51 30 29| 6.39| 0.28
012.515417|-43.394722|00 50 03.7|-43 23 41| 6.48| 0.29
013.721250|+83.707222|00 54 53.1|+83 42 26| 5.62| 0.09
012.890417|+51.571111|00 51 33.7|+51 34 16| 6.21|
012.671667|-50.986944|00 50 41.2|-50 59 13| 5.22| 0.36
012.826250| +3.385000|00 51 18.3|+03 23 06| 6.37| 1.07
013.267083|+61.124167|00 53 04.1|+61 07 27| 4.82| 0.53
012.967083|-43.709167|00 51 52.1|-43 42 33| 6.90| 0.35
013.222500|+38.548611|00 52 53.4|+38 32 55| 6.69| 0.02
013.169167|-24.005833|00 52 40.6|-24 00 21| 5.46| 1.24
013.252083| -1.144167|00 53 00.5|-01 08 39| 4.77| 1.57
013.367500|+37.418056|00 53 28.2|+37 25 05| 6.06| 1.14
013.448333|+52.689167|00 53 47.6|+52 41 21| 6.27| 0.19
013.301667|-24.776944|00 53 12.4|-24 46 37| 6.46| 0.44
013.101250|-69.504444|00 52 24.3|-69 30 16| 6.22| 0.56
013.750417|+58.972778|00 55 00.1|+58 58 22| 4.83| 1.21
013.646667|+19.188333|00 54 35.2|+19 11 18| 5.74|-0.01
013.573333| -8.740833|00 54 17.6|-08 44 27| 6.16| 0.92
013.771667|+48.678611|00 55 05.2|+48 40 43| 6.27| 1.68
013.407917|-62.871389|00 53 37.9|-62 52 17| 5.70| 1.56
013.741667|+23.628333|00 54 58.0|+23 37 42| 5.47| 1.00
013.811250|+24.556944|00 55 14.7|+24 33 25| 6.20| 1.62
014.053750|+57.996667|00 56 12.9|+57 59 48| 6.21| 1.37
014.231667|+68.776111|00 56 55.6|+68 46 34| 6.37| 0.38
013.993750|+27.209444|00 55 58.5|+27 12 34| 6.09| 0.14
013.926667| -7.347222|00 55 42.4|-07 20 50| 5.85| 1.52
014.177083|+60.716667|00 56 42.5|+60 43 00| 2.47|-0.15
014.165833|+59.181111|00 56 39.8|+59 10 52| 4.63| 0.96
014.196250|+60.362778|00 56 47.1|+60 21 46| 5.55|-0.07
014.006250|-11.266667|00 56 01.5|-11 16 00| 5.31| 1.52
013.981250|-27.775556|00 55 55.5|-27 46 32| 6.10| 1.67
014.188333|+38.499444|00 56 45.2|+38 29 58| 3.87| 0.13
013.751250|-69.526944|00 55 00.3|-69 31 37| 5.45| 1.09
014.301667|+23.417500|00 57 12.4|+23 25 03| 4.42| 0.94
014.415417|+45.839722|00 57 39.7|+45 50 23| 6.12| 1.02
014.629583|+66.352222|00 58 31.1|+66 21 08| 5.97|-0.02
014.459167|+28.992222|00 57 50.2|+28 59 32| 5.42| 1.08
014.559167|+33.950833|00 58 14.2|+33 57 03| 5.98| 1.00
014.477083|+13.695833|00 57 54.5|+13 41 45| 6.32| 0.89
014.578750|+21.404444|00 58 18.9|+21 24 16| 6.37| 0.09
015.129167|+70.983056|01 00 31.0|+70 58 59| 6.39| 0.13
014.682917|-11.380000|00 58 43.9|-11 22 48| 5.61| 0.97
014.651667|-29.357500|00 58 36.4|-29 21 27| 4.31|-0.16
014.593333|-60.696389|00 58 22.4|-60 41 47| 6.23| 0.10
015.014167|+44.711111|01 00 03.4|+44 42 40| 6.84|
015.015000|+44.713333|01 00 03.6|+44 42 48| 6.04|-0.01
014.957083| +6.483056|00 59 49.7|+06 28 59| 6.11| 1.67
017.186250|+86.256944|01 08 44.7|+86 15 25| 4.25| 1.21
023.460000|+89.015556|01 33 50.4|+89 00 56| 6.46| 0.11
015.576667|+51.035000|01 02 18.4|+51 02 06| 6.47|
015.326250|-38.916667|01 01 18.3|-38 55 00| 5.59| 1.18
015.756250|+47.376111|01 03 01.5|+47 22 34| 6.45| 0.25
015.726250|+41.345000|01 02 54.3|+41 20 42| 5.98| 0.16
015.704583|+31.804444|01 02 49.1|+31 48 16| 5.50|-0.05
015.904167|+61.075000|01 03 37.0|+61 04 30| 5.92| 0.49
015.610000|-31.551944|01 02 26.4|-31 33 07| 5.50| 0.08
015.735833| +7.890000|01 02 56.6|+07 53 24| 4.28| 0.96
015.507500|-57.002500|01 02 01.8|-57 00 09| 6.11| 0.94
015.760833| -4.836667|01 03 02.6|-04 50 12| 5.43| 1.11
016.081667|+61.580278|01 04 19.6|+61 34 49| 5.84| 0.54
016.010000|+52.502222|01 04 02.4|+52 30 08| 5.99| 1.47
015.705000|-46.397500|01 02 49.2|-46 23 51| 5.36| 0.90
015.823333|-29.525833|01 03 17.6|-29 31 33| 6.29| 0.93
015.954167| +1.366667|01 03 49.0|+01 22 00| 6.04| 0.27
016.195000|+51.010000|01 04 46.8|+51 00 36| 6.54|-0.08
016.115000|+29.658611|01 04 27.6|+29 39 31| 6.19| 0.43
015.678750|-65.456111|01 02 42.9|-65 27 22| 6.21| 1.64
016.151667|+39.991111|01 04 36.4|+39 59 28| 6.72| 0.31
019.056250|+87.145278|01 16 13.5|+87 08 43| 6.25| 1.12
016.219167| +5.656389|01 04 52.6|+05 39 23| 6.00| 1.51
016.272500|+14.946111|01 05 05.4|+14 56 46| 5.68| 0.41
016.595000|+62.761667|01 06 22.8|+62 45 42| 6.54| 0.19
016.420417|+21.473333|01 05 40.9|+21 28 24| 5.34|-0.03
016.423750|+21.465278|01 05 41.7|+21 27 55| 5.56|-0.07
017.301250|+80.011667|01 09 12.3|+80 00 42| 6.29|
016.455000| +4.908333|01 05 49.2|+04 54 30| 6.35| 0.38
016.464167| +4.909444|01 05 51.4|+04 54 34| 7.25| 0.49
016.403333| -9.979167|01 05 36.8|-09 58 45| 6.12| 1.01
016.750833|+56.935000|01 07 00.2|+56 56 06| 6.43| 1.18
016.521250| -9.839444|01 06 05.1|-09 50 22| 5.58| 0.01
016.789583|+53.498333|01 07 09.5|+53 29 54| 6.38|
016.640000|+12.956111|01 06 33.6|+12 57 22| 6.12| 0.96
016.532083|-23.992500|01 06 07.7|-23 59 33| 6.14| 1.09
017.068333|+54.920278|01 08 16.4|+54 55 13| 5.17| 0.69
016.520833|-46.718611|01 06 05.0|-46 43 07| 3.31| 0.89
016.610417|-35.660833|01 06 26.5|-35 39 39| 6.61| 0.14
017.003750|+43.941944|01 08 00.9|+43 56 31| 5.03| 0.11
016.804583|-23.996389|01 07 13.1|-23 59 47| 6.37| 0.23
017.138750|+58.263611|01 08 33.3|+58 15 49| 5.79|-0.01
017.005417|+32.012222|01 08 01.3|+32 00 44| 6.25| 0.40
016.988333|+20.739167|01 07 57.2|+20 44 21| 5.55| 0.13
016.942500| -9.785556|01 07 46.2|-09 47 08| 5.82| 0.43
017.092500| +5.649722|01 08 22.2|+05 38 59| 5.52| 0.34
016.949583|-41.486944|01 07 47.9|-41 29 13| 5.21| 0.16
016.827917|-61.775278|01 07 18.7|-61 46 31| 5.37| 0.88
018.069583|+79.673889|01 12 16.7|+79 40 26| 5.64| 0.01
017.147500|-10.182222|01 08 35.4|-10 10 56| 3.45| 1.16
017.375833|+47.241944|01 09 30.2|+47 14 31| 4.25|-0.07
017.663750|+68.778611|01 10 39.3|+68 46 43| 5.29|-0.02
017.432917|+35.620556|01 09 43.9|+35 37 14| 2.06| 1.58
017.096250|-55.245833|01 08 23.1|-55 14 45| 3.92|-0.08
017.455000|+19.658611|01 09 49.2|+19 39 31| 5.55| 0.69
